player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0039890,2026,2,NYJ,GB,WR,61.0,74.39024390243902,,41,12,36,6,63,178,255,0,27,0,0,0,1.0,6.0,,2.0,,1.0,0,0,0,0
00-0039893,2026,2,JAX,DEN,WR,32.0,59.25925925925925,,29,8,28,3,40,82,290,0,24,0,0,0,0.0,3.0,,3.0,,2.0,0,0,0,0
00-0039894,2026,2,KC,IND,WR,69.0,80.23255813953489,,47,7,43,5,25,40,247,0,28,0,0,0,3.0,10.0,,5.0,,3.0,0,1,0,1
00-0039901,2026,2,BUF,DET,WR,55.0,74.32432432432432,,31,6,28,6,63,48,248,0,36,0,0,0,1.0,4.0,,7.0,,4.0,0,0,0,0
00-0039910,2026,2,WAS,DAL,QB,39.0,70.9090909090909,,35,0,34,0,0,0,361,7,32,69,17,96,,6.0,2.0,5.0,0.0,1.0,0,0,1,0
00-0039912,2026,2,WAS,DAL,TE,48.0,70.58823529411764,,35,1,34,1,6,4,361,0,32,0,0,0,0.0,6.0,,5.0,,1.0,0,0,0,0
00-0039915,2026,2,LAC,LV,WR,31.0,67.39130434782608,,27,3,26,3,35,34,261,0,32,0,0,0,0.0,1.0,,3.0,,2.0,0,0,0,0
00-0039918,2026,2,CHI,MIN,QB,64.0,74.4186046511628,,35,0,30,0,0,0,165,5,31,42,26,138,,10.0,1.0,5.0,0.0,1.0,0,0,0,0
00-0039919,2026,2,CHI,MIN,WR,62.0,73.80952380952381,,35,4,30,3,43,47,165,0,31,0,0,0,0.0,10.0,,5.0,,1.0,0,0,0,0
00-0039920,2026,2,CLE,TB,WR,0.0,,,30,0,30,0,0,0,108,0,23,0,0,0,,5.0,,1.0,,0.0,0,0,0,0
00-0040024,2026,2,PHI,TEN,WR,31.0,75.60975609756098,,37,3,34,2,26,25,303,0,32,0,0,0,1.0,4.0,,7.0,,1.0,0,1,0,1
00-0040075,2026,2,BAL,NO,WR,31.0,58.490566037735846,,31,2,29,1,14,10,310,0,22,0,0,0,0.0,2.0,,5.0,,1.0,0,0,0,0
